Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP1227,Marketing,24,113338,3,38,68,No
EMP1228,Finance,59,82939,14,38,53,No
EMP1229,HR,43,81349,4,39,83,Yes
EMP1230,Finance,54,112442,10,31,54,No
EMP1231,Marketing,24,26007,7,39,100,Yes
EMP1232,IT,37,62938,11,33,40,No
EMP1233,Finance,32,41932,13,47,85,Yes
EMP1234,Marketing,43,34447,13,57,87,Yes
EMP1235,HR,50,35205,11,48,67,No
EMP1236,Operations,47,62947,4,42,41,No
EMP1237,IT,50,115388,12,32,67,No
EMP1238,IT,48,102184,13,46,45,No
EMP1239,Sales,42,54041,11,54,50,Yes
EMP1240,Operations,28,94547,17,36,97,Yes
EMP1241,Sales,30,55968,4,34,56,No
EMP1242,Marketing,30,110918,3,35,100,Yes
EMP1243,Finance,50,98889,19,44,83,No
EMP1244,Marketing,41,107210,11,34,68,Yes
EMP1245,Finance,40,61002,19,31,62,No
EMP1246,Sales,50,84233,2,31,63,No
EMP1247,HR,26,105610,20,46,64,No
EMP1248,Marketing,23,83947,19,50,52,No
EMP1249,Finance,53,44773,2,44,46,No
EMP1250,Sales,26,91132,6,31,55,No
EMP1251,Finance,54,93517,20,35,63,No
EMP1252,Sales,45,78578,11,51,78,Yes
EMP1253,Operations,42,33639,11,33,75,No
EMP1254,Sales,37,119861,20,57,49,No
EMP1255,Marketing,30,70851,10,60,81,Yes
EMP1256,Finance,29,102993,3,39,75,Yes
EMP1257,Sales,29,112833,17,32,81,Yes
EMP1258,Marketing,44,27389,12,39,51,No
EMP1259,Sales,52,50166,8,34,49,Yes
EMP1260,HR,53,95748,17,31,82,Yes
EMP1261,Marketing,29,103282,13,34,50,No
EMP1262,Operations,31,119526,15,31,66,Yes
EMP1263,Operations,36,83222,20,39,88,Yes
EMP1264,Finance,35,94993,8,39,91,Yes
EMP1265,IT,44,113907,19,44,69,No
EMP1266,Finance,53,94135,14,60,50,No
EMP1267,Marketing,29,57768,2,50,70,No
EMP1268,Marketing,27,118244,17,57,47,No
EMP1269,IT,38,83893,17,34,93,Yes
EMP1270,IT,49,70820,1,43,43,No
EMP1271,Sales,36,75615,3,41,54,Yes
EMP1272,HR,42,44142,5,31,58,No
EMP1273,Finance,29,117476,16,44,79,Yes
EMP1274,HR,22,58544,7,56,49,No
EMP1275,Operations,59,94176,14,33,89,Yes
EMP1276,Sales,28,31258,8,43,80,Yes
EMP1277,Finance,25,39530,16,49,74,Yes
EMP1278,Marketing,57,56711,5,39,67,Yes
EMP1279,Sales,36,99798,14,35,82,Yes
EMP1280,Marketing,44,33870,17,47,72,No
EMP1281,Marketing,56,27665,13,57,70,Yes
EMP1282,Finance,44,58246,1,41,90,Yes
EMP1283,IT,27,101271,11,34,42,No
EMP1284,Sales,32,114742,15,52,70,No
EMP1285,IT,25,118853,15,31,58,No
EMP1286,IT,23,66365,10,46,65,No
EMP1287,Marketing,51,58202,2,54,81,Yes
EMP1288,Sales,24,110948,11,38,47,No
EMP1289,Finance,46,82637,13,40,51,No
EMP1290,Finance,44,93062,9,55,45,No
EMP1291,HR,48,103964,6,47,58,No
EMP1292,HR,41,111628,10,39,68,No
EMP1293,Finance,31,115408,15,41,68,Yes
EMP1294,Sales,48,60986,2,32,82,Yes
EMP1295,Sales,53,114051,6,60,41,No
EMP1296,Marketing,49,29561,5,32,55,No
EMP1297,Sales,44,75181,19,31,78,Yes
EMP1298,Finance,44,73760,15,54,44,No
EMP1299,Marketing,44,77171,11,50,57,No
EMP1300,HR,22,49385,16,46,64,No
EMP1301,HR,37,59116,15,36,79,Yes
EMP1302,Finance,33,41074,5,57,44,No
EMP1303,Operations,49,36506,11,51,62,No
EMP1304,Marketing,55,63058,10,57,50,No
EMP1305,Operations,32,72381,17,37,47,No
EMP1306,IT,36,89752,1,41,75,No
EMP1307,Finance,56,42009,20,58,45,Yes
EMP1308,Finance,51,93903,14,54,66,No
EMP1309,HR,29,66553,3,44,69,No
EMP1310,Sales,29,97260,19,35,89,No
EMP1311,Finance,53,32263,4,46,49,No
EMP1312,IT,41,117973,8,41,100,No
EMP1313,Sales,26,57847,7,50,75,Yes
EMP1314,Operations,40,105534,18,32,72,No
EMP1315,Marketing,58,45210,6,51,79,No
EMP1316,Marketing,42,98874,2,56,95,Yes
EMP1317,HR,57,59688,7,54,76,No
EMP1318,Operations,22,90278,18,39,81,No
EMP1319,Finance,36,114783,13,39,69,Yes
EMP1320,HR,31,82619,14,45,69,Yes
EMP1321,Marketing,30,65970,11,53,95,Yes
EMP1322,Finance,29,73567,17,47,46,No
EMP1323,Finance,28,60058,15,37,49,Yes
EMP1324,Sales,45,105658,14,37,95,No
EMP1325,Sales,57,119519,11,36,88,Yes
EMP1326,Marketing,50,90373,10,45,41,Yes
EMP1327,Finance,53,84930,8,36,77,Yes
EMP1328,HR,39,89866,20,58,93,Yes
EMP1329,Finance,39,95345,1,57,46,No
EMP1330,Sales,44,77855,12,31,65,Yes
EMP1331,Marketing,33,72516,18,39,44,No
EMP1332,Finance,56,61663,20,51,79,Yes
EMP1333,HR,46,73915,11,47,100,Yes
EMP1334,IT,33,103966,17,42,72,Yes
EMP1335,HR,29,118531,11,55,70,No
EMP1336,IT,59,92568,5,40,99,Yes
EMP1337,IT,46,105805,10,48,61,No
EMP1338,Marketing,55,89205,19,39,70,No
EMP1339,Sales,42,113317,4,43,77,Yes
EMP1340,Operations,22,103238,16,38,81,Yes
EMP1341,Marketing,57,54824,2,48,70,Yes
EMP1342,Operations,45,44369,8,31,76,No
EMP1343,HR,33,27482,15,40,66,Yes
EMP1344,Operations,34,78788,17,54,79,No
EMP1345,Operations,24,117507,5,46,53,No
EMP1346,Operations,51,93875,13,40,51,No
EMP1347,Marketing,42,96601,12,51,89,No
EMP1348,Operations,37,104963,16,36,55,No
EMP1349,Sales,35,64008,10,52,53,No
EMP1350,Finance,41,87888,12,47,99,No
EMP1351,Operations,38,62721,4,48,83,Yes
EMP1352,Finance,43,44198,10,31,58,No
EMP1353,HR,43,82983,9,53,70,Yes
EMP1354,Marketing,38,98664,9,34,46,No
EMP1355,Marketing,36,56779,2,51,97,Yes
EMP1356,Operations,35,31880,4,43,61,No
EMP1357,HR,29,25679,18,59,50,No
EMP1358,Finance,51,110267,7,54,58,No
EMP1359,Operations,24,36725,19,37,74,No
EMP1360,HR,32,79773,6,59,98,Yes
EMP1361,Finance,52,49420,10,58,42,Yes
EMP1362,Marketing,59,39064,11,39,69,No
EMP1363,Marketing,54,89738,5,57,72,No
EMP1364,IT,28,68343,6,53,69,No
EMP1365,Operations,32,26846,11,55,58,No
EMP1366,IT,32,105079,13,56,67,No
EMP1367,HR,46,112720,4,35,48,No
EMP1368,IT,21,59181,13,37,68,No
EMP1369,Sales,40,101344,19,30,56,No
EMP1370,Operations,36,33142,4,44,59,No
EMP1371,Operations,53,117216,10,52,47,No
EMP1372,Sales,44,105560,8,37,48,No
EMP1373,Finance,59,73971,14,52,75,No
EMP1374,Marketing,34,57435,20,57,90,Yes
EMP1375,Finance,54,117244,12,32,98,Yes
EMP1376,HR,56,91255,7,48,74,Yes
EMP1377,Sales,54,82912,4,51,53,No
EMP1378,Finance,26,91895,15,55,43,No
EMP1379,Marketing,47,84873,19,31,75,No
EMP1380,Sales,22,76897,9,56,40,No
EMP1381,Marketing,25,30936,14,41,84,Yes
EMP1382,HR,25,86875,2,39,66,Yes
EMP1383,IT,47,74081,13,44,95,No
EMP1384,Finance,45,35518,18,34,81,No
EMP1385,HR,32,95419,13,46,48,No
EMP1386,IT,21,27979,10,44,83,Yes
EMP1387,Finance,55,74712,8,37,69,Yes
EMP1388,Sales,33,39790,2,55,82,Yes
EMP1389,HR,36,52011,3,33,78,Yes
EMP1390,Marketing,24,57077,2,42,68,Yes
EMP1391,IT,24,43367,17,39,54,No
EMP1392,Operations,57,66799,19,49,89,Yes
EMP1393,Sales,36,64552,5,51,73,Yes
EMP1394,Sales,38,32989,18,60,77,No
EMP1395,IT,48,97856,16,31,62,No
EMP1396,Operations,45,93742,11,52,66,No
EMP1397,Sales,45,49101,18,45,55,No
EMP1398,Sales,30,85689,2,47,66,No
EMP1399,Marketing,54,42575,13,37,56,No
EMP1400,Operations,26,83954,12,32,74,No
EMP1401,IT,24,60187,13,51,78,No
EMP1402,HR,33,102015,18,36,70,Yes
EMP1403,Sales,40,27009,7,59,52,No
EMP1404,HR,51,56797,20,52,53,No
EMP1405,IT,56,67154,10,42,69,No
EMP1406,Sales,40,59283,12,46,96,Yes
EMP1407,HR,51,66973,7,41,60,No
EMP1408,Marketing,35,44126,1,38,75,No
EMP1409,Marketing,47,63691,5,36,61,No
EMP1410,Marketing,36,90444,18,50,100,Yes
EMP1411,Sales,52,119838,16,44,50,No
EMP1412,Sales,31,43344,18,45,51,No
EMP1413,Marketing,24,93674,2,56,94,Yes
EMP1414,Operations,24,25836,14,34,93,Yes
EMP1415,HR,30,26198,7,46,69,Yes
EMP1416,Marketing,51,111413,16,30,40,No
EMP1417,Finance,21,27192,17,53,57,No
EMP1418,Sales,22,90826,14,55,100,No
EMP1419,HR,27,93732,5,37,52,No
EMP1420,Sales,43,60038,13,32,63,No
EMP1421,Finance,57,56877,8,39,83,No
EMP1422,HR,23,37255,13,42,64,No
EMP1423,HR,21,117123,6,32,71,No
EMP1424,Operations,42,99167,4,58,73,No
EMP1425,IT,34,115739,19,45,57,Yes
EMP1426,HR,38,96176,19,51,42,No
EMP1427,Sales,22,52152,19,34,88,No
EMP1428,Finance,25,64226,6,48,55,No
EMP1429,Finance,55,68480,13,54,87,Yes
EMP1430,Operations,26,90639,12,31,46,No
EMP1431,HR,42,104320,20,60,78,Yes
EMP1432,Sales,22,108115,9,55,68,No
EMP1433,Sales,56,74207,14,35,83,Yes
EMP1434,Finance,26,106083,10,55,55,No
EMP1435,HR,38,45214,13,52,90,Yes
EMP1436,Operations,45,66507,12,33,45,Yes
EMP1437,Sales,49,72175,9,33,48,Yes
EMP1438,Finance,49,98005,18,46,66,Yes
EMP1439,HR,43,97642,3,49,78,No
EMP1440,Finance,21,63253,14,42,89,Yes
EMP1441,Marketing,36,99967,17,35,83,Yes
EMP1442,IT,38,64469,9,45,49,Yes
EMP1443,Finance,38,80194,10,45,90,Yes
EMP1444,Sales,36,119489,16,49,79,Yes
EMP1445,HR,29,64932,1,60,65,Yes
EMP1446,Marketing,45,68193,15,40,67,No
EMP1447,Operations,59,42842,10,40,78,No
EMP1448,IT,51,66180,6,60,65,No
EMP1449,Sales,52,100481,8,40,64,No
EMP1450,Finance,44,39927,19,36,77,No
EMP1451,IT,56,28527,15,60,85,Yes
EMP1452,Sales,25,78627,16,34,80,Yes
EMP1453,Sales,30,118747,14,55,64,Yes
EMP1454,Marketing,51,101315,13,47,72,No
EMP1455,Operations,47,96256,2,55,63,No
EMP1456,Marketing,59,108647,3,33,89,Yes
EMP1457,Operations,43,46802,20,31,76,No
EMP1458,Operations,46,68463,14,33,40,Yes
EMP1459,IT,53,92999,18,48,84,Yes
EMP1460,Finance,44,76266,15,54,83,Yes
EMP1461,Marketing,30,70215,1,45,46,No
EMP1462,HR,28,43569,12,39,61,No
EMP1463,IT,54,88298,12,45,46,No
EMP1464,Operations,49,66800,3,39,42,No
EMP1465,HR,22,69967,4,51,91,Yes
EMP1466,Operations,36,92632,6,47,50,No
EMP1467,Finance,50,55389,13,50,51,No
EMP1468,Operations,48,76849,1,53,79,No
EMP1469,Finance,58,81302,13,30,85,Yes
EMP1470,Sales,25,100674,4,55,95,Yes
EMP1471,Sales,41,50830,15,33,56,No
EMP1472,Finance,54,108769,11,49,64,No
EMP1473,Marketing,28,70603,12,57,69,No
EMP1474,Operations,40,105541,19,32,83,Yes
EMP1475,HR,36,65026,4,35,63,No
EMP1476,Marketing,45,79819,20,34,76,Yes
EMP1477,IT,52,108296,18,52,98,Yes
EMP1478,IT,56,46871,16,39,48,No
EMP1479,Finance,24,72059,1,45,48,No
EMP1480,Finance,56,91248,16,43,83,Yes
EMP1481,Operations,49,89054,6,32,76,Yes
EMP1482,IT,39,29285,9,37,74,Yes
EMP1483,Finance,57,89921,18,46,47,No
EMP1484,Sales,55,73085,18,56,88,Yes
EMP1485,Operations,49,96611,7,43,46,No
EMP1486,Operations,36,64021,2,44,56,No
EMP1487,HR,49,40386,8,36,91,Yes
EMP1488,Operations,43,118159,20,50,67,Yes
EMP1489,IT,34,52124,2,48,62,No
EMP1490,Marketing,55,47069,11,52,58,No
EMP1491,Sales,53,114037,4,34,88,Yes
EMP1492,HR,38,110969,5,52,95,Yes
EMP1493,IT,41,57447,13,45,49,No
EMP1494,Sales,47,74174,15,32,80,Yes
EMP1495,HR,46,92582,9,52,99,No
EMP1496,Finance,52,67898,19,30,95,Yes
EMP1497,Operations,26,85089,12,57,44,No
EMP1498,Finance,34,81314,7,45,57,No
EMP1499,Sales,42,96737,19,34,76,No
EMP1500,Sales,24,31021,4,50,90,No
EMP1501,HR,28,45707,15,44,40,No
EMP1502,Finance,33,115255,5,58,81,Yes
EMP1503,Sales,26,110798,12,38,45,No
EMP1504,Operations,31,31787,13,50,59,No
EMP1505,IT,48,110915,3,52,46,Yes
EMP1506,Finance,25,42393,19,37,73,No
EMP1507,HR,21,116173,11,56,47,No
EMP1508,Finance,29,87613,3,37,64,Yes
EMP1509,HR,27,66071,12,58,59,No
EMP1510,IT,30,33966,17,48,40,No
EMP1511,IT,49,71030,7,50,87,Yes
EMP1512,Finance,49,53474,3,58,46,No
EMP1513,HR,58,75335,12,60,67,Yes
EMP1514,IT,36,61302,3,37,75,No
EMP1515,Operations,59,62345,1,57,94,Yes
EMP1516,Sales,34,92862,20,46,52,No
EMP1517,Sales,24,56370,16,42,47,No
EMP1518,Operations,59,34307,17,58,40,No
EMP1519,Sales,29,75703,19,43,63,No
EMP1520,IT,51,34567,1,48,44,Yes
EMP1521,IT,23,32925,13,46,58,No
EMP1522,Marketing,47,80518,13,32,80,Yes
EMP1523,Marketing,30,61368,3,39,45,No
EMP1524,IT,30,95305,11,42,77,No
EMP1525,Operations,25,65654,14,53,94,Yes
EMP1526,IT,26,81948,4,44,79,No
EMP1527,Sales,32,40655,1,52,48,No
EMP1528,IT,52,70443,17,46,90,No
EMP1529,Sales,31,73741,5,53,89,No
EMP1530,Operations,28,28847,11,55,67,Yes
EMP1531,HR,37,118365,19,50,44,No
EMP1532,Marketing,44,32266,16,57,76,Yes
EMP1533,IT,37,38487,19,51,86,Yes
EMP1534,Operations,53,25336,2,57,95,Yes
EMP1535,HR,51,72707,13,59,49,No
EMP1536,HR,56,118588,14,37,60,No
EMP1537,Operations,41,60554,3,48,63,No
EMP1538,Operations,24,48507,8,55,73,No
EMP1539,Finance,25,85960,10,54,94,Yes
EMP1540,HR,56,84866,1,41,52,No
EMP1541,Sales,36,85807,12,48,71,No
EMP1542,IT,55,57129,5,30,99,Yes
EMP1543,IT,55,70406,1,60,61,Yes
EMP1544,Operations,45,65306,4,36,73,No
EMP1545,Finance,52,32850,5,52,57,Yes
EMP1546,IT,54,79140,12,44,87,Yes
EMP1547,HR,53,42499,13,32,77,No
EMP1548,Finance,29,56034,10,38,94,Yes
EMP1549,Finance,41,66688,15,38,54,Yes
EMP1550,IT,29,101638,4,34,46,No
EMP1551,Finance,41,78282,4,47,62,No
EMP1552,IT,49,65410,15,38,94,Yes
EMP1553,IT,40,117367,20,31,53,No
EMP1554,Sales,30,36955,8,60,62,No
EMP1555,HR,40,59100,6,30,100,Yes
EMP1556,Finance,56,97105,8,33,69,Yes
EMP1557,IT,28,26567,2,56,89,No
EMP1558,IT,33,77505,12,51,80,No
EMP1559,HR,58,101823,9,59,92,Yes
EMP1560,HR,33,109670,15,55,48,Yes
EMP1561,Sales,28,30596,15,31,50,No
EMP1562,Finance,46,90028,1,42,83,Yes
EMP1563,Sales,34,49530,9,38,68,No
EMP1564,HR,36,109840,10,45,66,No
EMP1565,Finance,24,36497,9,42,48,No
EMP1566,Operations,54,57656,18,55,41,No
EMP1567,Operations,43,87873,18,55,71,Yes
EMP1568,Marketing,53,67153,13,38,51,Yes
EMP1569,Marketing,35,28840,9,31,91,No
EMP1570,Marketing,43,101544,8,35,46,No
EMP1571,IT,38,94951,2,54,100,Yes
EMP1572,Finance,43,47768,6,37,77,Yes
EMP1573,Operations,43,102537,1,52,84,Yes
EMP1574,Marketing,57,43625,19,60,52,No
EMP1575,Finance,55,65508,6,45,42,Yes
EMP1576,IT,59,53679,1,46,70,Yes
EMP1577,Marketing,33,42103,11,52,51,No
EMP1578,Sales,24,27872,5,48,85,No
EMP1579,HR,54,72826,3,41,85,No
EMP1580,Finance,58,38242,11,39,60,No
EMP1581,IT,48,108789,16,50,60,No
EMP1582,Marketing,43,54260,19,56,51,No
EMP1583,Operations,39,41691,6,53,40,No
EMP1584,Marketing,46,99381,2,35,78,Yes
EMP1585,Marketing,35,108839,19,33,99,Yes
EMP1586,Sales,25,56194,12,40,50,No
EMP1587,HR,42,83540,1,38,53,No
